title,tags
Seven (feat. Latto) (Explicit Ver.),"seven (feat. latto) (explicit ver.) latto, jung kook 125 b major"
LALA,lala myke towers 92 c# major
vampire,vampire olivia rodrigo 138 f major
Cruel Summer,cruel summer taylor swift 170 a major
WHERE SHE GOES,where she goes bad bunny 144 a minor
Sprinter,"sprinter dave, central cee 141 c# major"
Ella Baila Sola,"ella baila sola eslabon armado, peso pluma 148 f minor"
Columbia,columbia quevedo 100 f major
fukumean,fukumean gunna 130 c# minor
La Bebe - Remix,"la bebe - remix peso pluma, yng lvcas 170 d minor"
un x100to,"un x100to bad bunny, grupo frontera 83 f# minor"
Super Shy,super shy newjeans 150 f minor
Daylight,daylight david kushner 130 d minor
Kill Bill,kill bill sza 89 g# major
Cupid - Twin Ver.,cupid - twin ver. fifty fifty 120 b minor
Classy 101,"classy 101 feid, young miko 100 b major"
Like Crazy,like crazy jimin 120 g major
LADY GAGA,"lady gaga gabito ballesteros, junior h, peso pluma 140 f minor"
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,i can see you (taylorï¿½ï¿½ï¿½s version) (from the  taylor swift 123 f# major
"Peso Pluma: Bzrp Music Sessions, Vol. 55","peso pluma: bzrp music sessions, vol. 55 bizarrap, peso pluma 133 f minor"
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"popular (with playboi carti & madonna) - the idol vol. 1 (music from the hbo original series) the weeknd, madonna, playboi carti 99 c# major"
SABOR FRESA,sabor fresa fuerza regida 130 g minor
Calm Down (with Selena Gomez),"calm down (with selena gomez) rï¿½ï¿½ma, selena g 107 b major"
MOJABI GHOST,"mojabi ghost tainy, bad bunny 122 f# minor"
Last Night,last night morgan wallen 204 f# major
Dance The Night (From Barbie The Album),dance the night (from barbie the album) dua lipa 110 b minor
Rush,rush troye sivan 126 f minor
TULUM,"tulum peso pluma, grupo frontera 168 f# major"
Creepin',"creepin' the weeknd, 21 savage, metro boomin 98 c# minor"
Anti-Hero,anti-hero taylor swift 97 e major
TQG,"tqg karol g, shakira 180 e minor"
Frï¿½ï¿½gil (feat. Grupo Front,"frï¿½ï¿½gil (feat. grupo front yahritza y su esencia, grupo frontera 150 f# major"
Blank Space,blank space taylor swift 96 f major
